Shipment_ID,Date,Origin_Port,Destination_Port,Carrier,Weather_En_Route,Container_Weight_Tons,Port_Congestion_Index,Route_Distance_NM,Is_Delayed,Delay_Days
SHP-10022,2025-08-31,Los Angeles,Dubai,COSCO,Clear,17.7,0.88,8169,0,0
SHP-10023,2025-04-30,Los Angeles,Hamburg,Evergreen,Clear,15.64,0.75,10936,0,0
SHP-10024,2025-08-01,Singapore,Shanghai,MSC,Storm,27.81,0.68,11796,1,8
SHP-10025,2025-03-27,Los Angeles,Shanghai,MSC,Clear,25.35,0.21,10904,0,0
SHP-10026,2025-12-12,Rotterdam,Hamburg,COSCO,Clear,24.02,0.36,9939,1,6
SHP-10027,2025-10-10,Shanghai,Dubai,MSC,Rain,28.84,0.47,5492,0,0
SHP-10028,2025-08-13,Rotterdam,Dubai,Maersk,Fog,29.92,0.3,11243,0,0
SHP-10029,2025-03-30,Dubai,Shanghai,MSC,Rain,24.39,0.21,10169,0,0
SHP-10030,2025-12-16,Shanghai,Rotterdam,COSCO,Clear,27.14,0.49,9414,0,0
SHP-10031,2025-10-24,Rotterdam,Singapore,Hapag-Lloyd,Clear,21.53,0.79,3021,1,4
SHP-10032,2025-10-03,Los Angeles,Shanghai,MSC,Rain,27.11,0.84,8183,0,0
SHP-10033,2025-05-13,Singapore,Shanghai,Evergreen,Clear,22.44,0.65,5117,0,0
SHP-10034,2025-04-04,Rotterdam,Dubai,Evergreen,Rain,13.36,0.63,11631,0,0
SHP-10035,2025-02-13,Hamburg,Dubai,MSC,Clear,23.3,0.71,6954,0,0
SHP-10036,2025-08-10,Shanghai,Singapore,Maersk,Typhoon,16.75,0.52,3351,0,0
SHP-10037,2025-06-29,Rotterdam,Singapore,MSC,Clear,10.38,0.52,3989,0,0
SHP-10038,2025-08-29,Dubai,Rotterdam,Hapag-Lloyd,Clear,26.18,0.54,7989,0,0
SHP-10039,2025-04-20,Hamburg,Dubai,COSCO,Clear,27.58,0.24,7808,0,0
SHP-10040,2025-07-26,Dubai,Los Angeles,MSC,Clear,10.22,0.68,9453,1,4
SHP-10041,2025-11-29,Los Angeles,Singapore,Hapag-Lloyd,Clear,12.18,0.24,4997,0,0
SHP-10042,2025-02-19,Dubai,Rotterdam,Hapag-Lloyd,Clear,26.17,0.41,11115,0,0
SHP-10043,2025-01-17,Los Angeles,Dubai,COSCO,Clear,11.18,0.2,10885,0,0
SHP-10044,2025-07-23,Rotterdam,Hamburg,MSC,Clear,14.63,0.61,9827,0,0
SHP-10045,2025-05-28,Dubai,Los Angeles,Maersk,Typhoon,16.64,0.38,6807,0,0
SHP-10046,2025-12-27,Rotterdam,Singapore,Evergreen,Clear,20.94,0.51,10130,0,0
SHP-10047,2025-07-08,Singapore,Hamburg,Evergreen,Rain,12.71,0.15,7741,0,0
SHP-10048,2025-01-11,Shanghai,Rotterdam,Hapag-Lloyd,Clear,12.56,0.41,5951,0,0
SHP-10049,2025-06-03,Shanghai,Rotterdam,MSC,Clear,13.73,0.91,5180,0,0
SHP-10050,2025-06-07,Hamburg,Shanghai,MSC,Clear,15.35,0.54,9227,0,0
SHP-10051,2025-05-03,Los Angeles,Shanghai,Hapag-Lloyd,Clear,19.72,0.94,10303,1,12
SHP-10052,2025-08-30,Singapore,Los Angeles,Maersk,Rain,28.11,0.12,9829,0,0
SHP-10053,2025-09-30,Dubai,Rotterdam,Maersk,Rain,16.65,0.18,6160,0,0
SHP-10054,2025-03-22,Hamburg,Los Angeles,Maersk,Rain,10.23,0.16,7598,0,0
SHP-10055,2025-07-08,Shanghai,Singapore,Hapag-Lloyd,Clear,25.1,0.88,4589,0,0
SHP-10056,2025-04-25,Hamburg,Los Angeles,Hapag-Lloyd,Clear,29.02,0.63,5313,0,0
SHP-10057,2025-12-29,Shanghai,Singapore,Hapag-Lloyd,Clear,29.47,0.33,8204,0,0
SHP-10058,2025-12-18,Rotterdam,Los Angeles,Maersk,Clear,21.05,0.65,3623,0,0
SHP-10059,2025-01-20,Shanghai,Dubai,MSC,Fog,13.94,0.36,8853,0,0
SHP-10060,2025-11-02,Shanghai,Dubai,Maersk,Storm,26.46,0.96,9648,1,6
SHP-10061,2025-12-29,Dubai,Hamburg,Maersk,Clear,28.17,0.92,5712,0,0
SHP-10062,2025-12-12,Singapore,Rotterdam,Hapag-Lloyd,Clear,13.01,0.17,5136,0,0
SHP-10063,2025-05-25,Dubai,Hamburg,COSCO,Clear,27.44,0.54,4742,0,0
SHP-10064,2025-11-04,Rotterdam,Dubai,MSC,Rain,16.61,0.59,10898,0,0
SHP-10065,2025-02-16,Dubai,Singapore,Evergreen,Rain,27.63,0.12,3065,0,0
SHP-10066,2025-03-04,Los Angeles,Dubai,Hapag-Lloyd,Typhoon,12.92,0.93,11103,1,2
SHP-10067,2025-03-28,Los Angeles,Shanghai,COSCO,Rain,25.39,0.98,8592,0,0
SHP-10068,2025-09-07,Singapore,Dubai,COSCO,Clear,24.55,0.27,10150,0,0
SHP-10069,2025-05-08,Singapore,Rotterdam,MSC,Clear,18.49,0.65,8969,0,0
SHP-10070,2025-05-08,Rotterdam,Singapore,MSC,Rain,22.98,0.43,5433,0,0
SHP-10071,2025-10-03,Shanghai,Hamburg,MSC,Clear,10.06,0.97,7780,0,0
SHP-10072,2025-11-19,Singapore,Dubai,MSC,Fog,27.04,0.39,9495,0,0
SHP-10073,2025-01-10,Singapore,Shanghai,Maersk,Clear,12.78,0.92,9489,0,0
SHP-10074,2025-07-07,Rotterdam,Dubai,COSCO,Fog,12.53,0.92,6949,0,0
SHP-10075,2025-05-02,Los Angeles,Dubai,Evergreen,Rain,21.7,0.78,8742,1,8
SHP-10076,2025-10-04,Singapore,Dubai,Maersk,Fog,26.09,0.67,9054,0,0
SHP-10077,2025-06-03,Dubai,Rotterdam,Evergreen,Clear,14.5,0.52,4594,0,0
SHP-10078,2025-08-23,Los Angeles,Hamburg,Maersk,Storm,14.87,0.94,8537,0,0
SHP-10079,2025-05-10,Rotterdam,Shanghai,MSC,Clear,12.38,0.36,6076,0,0
SHP-10080,2025-08-24,Hamburg,Dubai,COSCO,Clear,24.35,0.21,5592,0,0
SHP-10081,2025-05-22,Hamburg,Rotterdam,Evergreen,Rain,23.26,0.27,9566,0,0
SHP-10082,2025-09-19,Shanghai,Hamburg,Evergreen,Rain,23.62,0.39,6878,0,0
SHP-10083,2025-02-09,Los Angeles,Rotterdam,COSCO,Clear,11.52,0.99,7426,0,0
SHP-10084,2025-06-28,Hamburg,Shanghai,Maersk,Clear,10.84,0.65,9872,0,0
SHP-10085,2025-03-17,Singapore,Dubai,Evergreen,Clear,23.0,0.26,4808,0,0
SHP-10086,2025-10-25,Shanghai,Singapore,MSC,Clear,15.95,0.85,3287,0,0
SHP-10087,2025-07-28,Hamburg,Singapore,COSCO,Clear,15.86,0.38,3792,0,0
SHP-10088,2025-10-23,Los Angeles,Shanghai,Evergreen,Storm,19.9,0.43,9150,1,7
SHP-10089,2025-02-13,Singapore,Shanghai,COSCO,Clear,14.01,0.54,6365,0,0
SHP-10090,2025-04-19,Singapore,Los Angeles,Evergreen,Clear,16.15,0.55,10978,0,0
SHP-10091,2025-08-13,Shanghai,Rotterdam,COSCO,Clear,16.89,0.18,9691,0,0
SHP-10092,2025-04-21,Los Angeles,Hamburg,MSC,Fog,17.94,0.89,7771,1,14
SHP-10093,2025-03-24,Dubai,Los Angeles,Evergreen,Fog,22.0,0.59,7050,0,0
SHP-10094,2025-01-28,Rotterdam,Hamburg,Hapag-Lloyd,Clear,23.56,0.71,5862,0,0
SHP-10095,2025-04-09,Rotterdam,Los Angeles,COSCO,Clear,28.49,0.23,8211,0,0
SHP-10096,2025-07-30,Rotterdam,Hamburg,Maersk,Storm,24.38,0.28,11431,1,6
SHP-10097,2025-09-09,Rotterdam,Singapore,COSCO,Rain,29.69,0.1,7101,0,0
SHP-10098,2025-03-10,Los Angeles,Dubai,Hapag-Lloyd,Clear,11.76,0.99,9491,0,0
SHP-10099,2025-10-11,Hamburg,Singapore,Evergreen,Clear,29.84,0.38,6378,0,0
SHP-10100,2025-07-06,Hamburg,Singapore,MSC,Clear,26.48,0.79,5146,0,0
SHP-10101,2025-09-13,Shanghai,Rotterdam,Hapag-Lloyd,Clear,25.7,0.16,11782,0,0
SHP-10102,2025-12-29,Shanghai,Los Angeles,MSC,Clear,29.58,0.24,5665,0,0
SHP-10103,2025-08-19,Singapore,Shanghai,COSCO,Rain,20.52,0.61,3607,0,0
SHP-10104,2025-06-05,Hamburg,Rotterdam,Maersk,Storm,16.76,0.81,5285,1,5
SHP-10105,2025-06-30,Rotterdam,Hamburg,Evergreen,Storm,19.08,0.75,11148,0,0
SHP-10106,2025-02-14,Shanghai,Rotterdam,COSCO,Rain,24.02,0.51,5317,0,0
SHP-10107,2025-08-14,Hamburg,Dubai,Evergreen,Rain,29.99,0.31,6645,0,0
SHP-10108,2025-10-12,Shanghai,Rotterdam,Hapag-Lloyd,Clear,13.76,0.97,9032,1,7
SHP-10109,2025-08-05,Hamburg,Dubai,Maersk,Clear,13.97,0.47,8205,0,0
SHP-10110,2025-05-23,Los Angeles,Rotterdam,Maersk,Rain,28.92,0.45,3224,1,7
SHP-10111,2025-05-11,Rotterdam,Shanghai,COSCO,Clear,24.64,0.25,6408,1,9
SHP-10112,2025-02-01,Shanghai,Los Angeles,COSCO,Clear,20.02,0.97,8325,0,0
SHP-10113,2025-03-12,Rotterdam,Hamburg,COSCO,Clear,22.55,0.62,9258,0,0
SHP-10114,2025-09-16,Hamburg,Dubai,COSCO,Typhoon,27.48,0.25,9046,1,13
SHP-10115,2025-03-08,Los Angeles,Shanghai,Maersk,Typhoon,12.99,0.16,10970,1,10
SHP-10116,2025-09-27,Shanghai,Rotterdam,Maersk,Clear,28.32,0.54,9591,0,0
SHP-10117,2025-11-03,Singapore,Rotterdam,Maersk,Clear,12.7,0.71,3909,0,0
SHP-10118,2025-04-19,Rotterdam,Shanghai,COSCO,Storm,11.48,0.64,10788,0,0
SHP-10119,2025-03-22,Los Angeles,Hamburg,COSCO,Rain,13.41,0.14,8736,0,0
SHP-10120,2025-02-20,Shanghai,Singapore,Evergreen,Clear,22.94,0.63,10349,0,0
SHP-10121,2025-02-03,Los Angeles,Singapore,Maersk,Clear,17.43,0.58,10409,0,0
SHP-10122,2025-11-11,Hamburg,Rotterdam,Hapag-Lloyd,Clear,29.89,0.95,5743,0,0
SHP-10123,2025-07-06,Rotterdam,Shanghai,MSC,Clear,27.29,0.68,6034,0,0
SHP-10124,2025-02-10,Dubai,Rotterdam,COSCO,Clear,16.95,0.93,6910,1,14
SHP-10125,2026-01-01,Los Angeles,Shanghai,Hapag-Lloyd,Storm,19.39,0.29,7908,0,0
SHP-10126,2025-12-02,Shanghai,Dubai,MSC,Clear,11.47,0.89,5678,1,12
SHP-10127,2025-04-20,Hamburg,Singapore,Evergreen,Clear,28.4,0.96,8716,1,5
SHP-10128,2025-04-25,Hamburg,Singapore,Hapag-Lloyd,Fog,13.25,0.68,7679,0,0
SHP-10129,2025-01-11,Dubai,Rotterdam,Evergreen,Rain,15.39,0.23,6354,0,0
SHP-10130,2025-11-23,Singapore,Rotterdam,COSCO,Clear,22.27,0.56,5269,0,0
SHP-10131,2025-04-23,Dubai,Singapore,Evergreen,Storm,11.57,0.25,11999,1,13
SHP-10132,2025-07-16,Shanghai,Dubai,MSC,Clear,14.24,0.26,6135,1,11
SHP-10133,2025-08-02,Hamburg,Dubai,COSCO,Clear,13.75,0.61,5763,0,0
SHP-10134,2025-04-04,Shanghai,Singapore,COSCO,Clear,21.97,0.97,5693,0,0
SHP-10135,2025-04-02,Singapore,Dubai,MSC,Clear,16.08,0.83,6332,1,2
SHP-10136,2025-12-25,Dubai,Los Angeles,Hapag-Lloyd,Rain,13.27,0.22,3479,0,0
SHP-10137,2025-06-30,Hamburg,Dubai,COSCO,Clear,28.35,0.35,6614,0,0
SHP-10138,2025-06-16,Shanghai,Rotterdam,MSC,Rain,10.66,0.78,3774,0,0
SHP-10139,2025-04-20,Rotterdam,Los Angeles,Evergreen,Rain,17.86,0.11,8237,0,0
SHP-10140,2025-04-03,Singapore,Shanghai,Hapag-Lloyd,Clear,29.67,0.69,7865,0,0
SHP-10141,2025-07-28,Singapore,Los Angeles,COSCO,Clear,15.23,0.71,8618,0,0
SHP-10142,2025-03-18,Singapore,Shanghai,MSC,Clear,13.76,0.2,7297,0,0
SHP-10143,2025-04-17,Singapore,Shanghai,MSC,Rain,13.6,0.34,11384,0,0
SHP-10144,2025-07-22,Singapore,Los Angeles,MSC,Rain,23.73,0.69,9413,0,0
SHP-10145,2025-04-11,Dubai,Shanghai,MSC,Clear,10.04,0.21,8465,0,0
SHP-10146,2025-10-16,Dubai,Shanghai,Maersk,Clear,16.87,0.19,5618,0,0
SHP-10147,2025-04-23,Dubai,Shanghai,Evergreen,Clear,11.2,0.84,7993,1,5
SHP-10148,2025-11-19,Shanghai,Hamburg,Maersk,Typhoon,27.28,0.98,4700,1,3
SHP-10149,2025-05-01,Rotterdam,Shanghai,MSC,Rain,11.21,0.22,8474,0,0
SHP-10150,2025-07-31,Los Angeles,Dubai,COSCO,Clear,29.83,0.2,10323,0,0
SHP-10151,2025-08-02,Shanghai,Dubai,COSCO,Clear,25.34,0.22,9285,0,0
SHP-10152,2025-02-22,Shanghai,Hamburg,MSC,Clear,26.77,0.72,11206,0,0
SHP-10153,2025-03-12,Singapore,Rotterdam,Evergreen,Clear,14.66,0.26,4312,0,0
SHP-10154,2025-03-03,Shanghai,Rotterdam,Evergreen,Clear,26.54,0.58,5662,0,0
SHP-10155,2025-02-16,Rotterdam,Shanghai,COSCO,Rain,13.81,0.52,4892,0,0
SHP-10156,2025-08-08,Hamburg,Dubai,Maersk,Clear,24.01,0.54,7157,0,0
SHP-10157,2025-12-02,Dubai,Hamburg,COSCO,Fog,26.73,0.21,4967,0,0
SHP-10158,2025-05-13,Los Angeles,Singapore,Evergreen,Storm,29.19,0.35,8673,1,9
SHP-10159,2025-11-03,Shanghai,Dubai,Evergreen,Rain,12.8,0.98,9504,1,10
SHP-10160,2025-05-22,Shanghai,Hamburg,MSC,Clear,14.74,0.7,11555,0,0
SHP-10161,2025-09-29,Shanghai,Los Angeles,Hapag-Lloyd,Clear,22.32,0.41,11970,0,0
SHP-10162,2025-10-24,Shanghai,Singapore,MSC,Clear,28.3,0.46,10976,0,0
SHP-10163,2025-06-26,Rotterdam,Singapore,Hapag-Lloyd,Clear,22.15,0.37,11767,0,0
SHP-10164,2025-10-12,Dubai,Hamburg,Evergreen,Clear,19.88,0.52,10936,0,0
SHP-10165,2025-09-07,Hamburg,Shanghai,Maersk,Rain,22.34,0.55,11663,0,0
SHP-10166,2025-07-14,Singapore,Los Angeles,MSC,Rain,10.05,0.85,10799,1,4
SHP-10167,2025-02-21,Shanghai,Singapore,Hapag-Lloyd,Rain,13.31,0.53,5064,0,0
SHP-10168,2025-06-27,Shanghai,Dubai,Maersk,Clear,19.82,0.49,6776,0,0
SHP-10169,2025-10-15,Los Angeles,Hamburg,Hapag-Lloyd,Typhoon,26.0,0.99,9503,1,10
SHP-10170,2025-08-13,Dubai,Los Angeles,Maersk,Clear,18.28,0.89,5825,0,0
SHP-10171,2025-06-19,Rotterdam,Singapore,COSCO,Clear,20.82,0.53,7323,0,0
SHP-10172,2025-08-25,Los Angeles,Shanghai,Hapag-Lloyd,Rain,10.74,0.55,11517,0,0
SHP-10173,2025-09-05,Shanghai,Los Angeles,Hapag-Lloyd,Clear,25.39,0.61,5251,1,12
SHP-10174,2025-08-29,Singapore,Shanghai,Hapag-Lloyd,Clear,27.28,0.65,6127,0,0
SHP-10175,2025-03-09,Dubai,Rotterdam,Evergreen,Storm,29.38,0.26,4827,0,0
SHP-10176,2025-09-27,Shanghai,Singapore,Evergreen,Rain,10.99,0.51,6048,0,0
SHP-10177,2025-11-16,Los Angeles,Singapore,Evergreen,Fog,13.6,0.84,11363,0,0
SHP-10178,2025-12-30,Rotterdam,Los Angeles,MSC,Rain,11.34,0.28,5036,0,0
SHP-10179,2025-07-13,Dubai,Singapore,Evergreen,Rain,24.44,0.11,4357,0,0
SHP-10180,2025-01-11,Singapore,Rotterdam,Maersk,Clear,27.03,0.12,10122,0,0
SHP-10181,2025-06-24,Shanghai,Singapore,Hapag-Lloyd,Fog,14.05,0.96,6019,0,0
SHP-10182,2025-05-16,Los Angeles,Shanghai,MSC,Clear,24.78,0.15,6646,0,0
SHP-10183,2025-08-14,Hamburg,Shanghai,Hapag-Lloyd,Clear,21.59,0.5,9830,0,0
SHP-10184,2025-05-16,Dubai,Singapore,COSCO,Typhoon,10.29,0.14,3486,0,0
SHP-10185,2025-09-24,Singapore,Los Angeles,COSCO,Typhoon,13.68,0.69,3794,0,0
SHP-10186,2025-09-12,Hamburg,Rotterdam,MSC,Storm,21.94,0.72,5178,0,0
SHP-10187,2025-12-28,Singapore,Los Angeles,Maersk,Fog,24.3,0.99,4774,1,5
SHP-10188,2025-04-26,Dubai,Singapore,Hapag-Lloyd,Clear,26.62,0.13,5476,0,0
SHP-10189,2025-03-21,Singapore,Hamburg,Evergreen,Clear,27.01,0.53,9675,0,0
SHP-10190,2025-08-12,Hamburg,Los Angeles,MSC,Clear,27.74,0.52,11365,0,0
SHP-10191,2025-01-23,Shanghai,Los Angeles,Maersk,Clear,23.74,0.62,9587,0,0
SHP-10192,2025-04-20,Shanghai,Rotterdam,COSCO,Storm,18.2,0.87,5043,1,8
SHP-10193,2025-10-12,Los Angeles,Singapore,Hapag-Lloyd,Rain,15.33,0.41,8620,1,8
SHP-10194,2025-04-17,Shanghai,Singapore,Hapag-Lloyd,Rain,27.46,0.78,7912,0,0
SHP-10195,2025-09-09,Singapore,Hamburg,Evergreen,Clear,11.69,0.5,3409,0,0
SHP-10196,2025-05-24,Shanghai,Dubai,Maersk,Typhoon,27.97,0.66,7732,1,13
SHP-10197,2025-06-08,Singapore,Los Angeles,COSCO,Clear,21.73,0.4,7336,1,14
SHP-10198,2025-04-04,Rotterdam,Singapore,Evergreen,Clear,25.43,0.66,10869,0,0
SHP-10199,2025-11-25,Rotterdam,Singapore,Hapag-Lloyd,Clear,19.77,0.75,9346,0,0
SHP-10200,2025-05-09,Los Angeles,Shanghai,Evergreen,Typhoon,17.37,0.71,3606,1,2
SHP-10201,2025-05-20,Dubai,Shanghai,Evergreen,Rain,16.54,0.21,9541,1,10
SHP-10202,2025-06-25,Shanghai,Rotterdam,Maersk,Storm,22.21,0.6,3744,0,0
SHP-10203,2025-06-19,Hamburg,Singapore,COSCO,Rain,11.54,0.89,6264,0,0
SHP-10204,2025-12-07,Dubai,Hamburg,MSC,Clear,21.89,0.82,10273,0,0
SHP-10205,2025-09-09,Dubai,Rotterdam,Hapag-Lloyd,Storm,10.32,0.63,4158,0,0
SHP-10206,2025-08-31,Hamburg,Rotterdam,Hapag-Lloyd,Fog,29.19,0.99,10050,0,0
SHP-10207,2025-11-01,Singapore,Shanghai,Maersk,Rain,18.82,0.12,3329,0,0
SHP-10208,2025-07-28,Hamburg,Singapore,Hapag-Lloyd,Rain,27.24,0.87,7007,0,0
SHP-10209,2025-02-18,Shanghai,Dubai,MSC,Rain,15.59,0.81,11524,0,0
SHP-10210,2025-08-13,Shanghai,Hamburg,Evergreen,Fog,22.6,0.57,11521,0,0
SHP-10211,2025-03-23,Shanghai,Hamburg,Maersk,Storm,13.31,0.2,10706,1,2
SHP-10212,2025-03-20,Singapore,Shanghai,COSCO,Clear,12.32,0.94,10663,1,2
SHP-10213,2025-06-19,Hamburg,Shanghai,Maersk,Clear,13.59,0.82,5525,0,0
SHP-10214,2025-06-15,Los Angeles,Shanghai,MSC,Clear,12.27,0.85,3053,0,0
SHP-10215,2025-06-11,Shanghai,Rotterdam,COSCO,Clear,27.44,0.2,11268,0,0
SHP-10216,2025-08-18,Hamburg,Singapore,Evergreen,Clear,13.21,0.46,7157,0,0
SHP-10217,2025-03-15,Los Angeles,Hamburg,Evergreen,Clear,12.59,0.31,5481,0,0
SHP-10218,2025-04-01,Rotterdam,Shanghai,Evergreen,Clear,14.78,0.77,4364,1,7
SHP-10219,2025-01-30,Singapore,Hamburg,Maersk,Clear,28.01,0.3,5963,0,0
SHP-10220,2025-12-12,Rotterdam,Singapore,COSCO,Storm,26.65,0.24,10388,0,0
SHP-10221,2025-01-09,Hamburg,Rotterdam,MSC,Clear,12.86,0.71,5924,0,0
SHP-10222,2025-06-13,Shanghai,Los Angeles,MSC,Storm,28.85,0.24,10570,1,9
SHP-10223,2025-03-15,Hamburg,Singapore,Maersk,Storm,26.88,0.66,7073,0,0
SHP-10224,2025-02-08,Los Angeles,Shanghai,Hapag-Lloyd,Rain,10.1,0.55,3576,0,0
SHP-10225,2025-01-09,Rotterdam,Singapore,MSC,Storm,29.36,0.19,11214,1,6
SHP-10226,2025-10-25,Hamburg,Singapore,COSCO,Rain,17.95,0.7,10348,0,0
SHP-10227,2025-05-10,Hamburg,Rotterdam,MSC,Clear,28.36,0.39,8524,0,0
SHP-10228,2025-11-11,Rotterdam,Los Angeles,COSCO,Storm,21.04,0.34,6875,0,0
SHP-10229,2025-10-20,Rotterdam,Los Angeles,Evergreen,Fog,12.94,1.0,5470,0,0
SHP-10230,2025-11-11,Dubai,Rotterdam,COSCO,Clear,12.75,0.54,3275,0,0
SHP-10231,2025-12-20,Dubai,Hamburg,MSC,Clear,21.4,0.78,6396,0,0
SHP-10232,2025-06-19,Dubai,Rotterdam,Hapag-Lloyd,Clear,22.0,0.9,4628,0,0
SHP-10233,2025-08-31,Hamburg,Singapore,Evergreen,Clear,15.37,0.65,8435,0,0
SHP-10234,2025-02-26,Singapore,Los Angeles,Hapag-Lloyd,Clear,14.11,0.64,4251,0,0
SHP-10235,2025-02-26,Singapore,Hamburg,MSC,Clear,29.14,0.72,10608,0,0
SHP-10236,2025-08-08,Hamburg,Rotterdam,COSCO,Clear,29.71,0.57,4135,0,0
SHP-10237,2025-09-03,Singapore,Los Angeles,Hapag-Lloyd,Rain,21.6,0.62,4559,0,0
SHP-10238,2025-05-15,Rotterdam,Shanghai,Hapag-Lloyd,Typhoon,19.35,0.67,5381,0,0
SHP-10239,2025-07-22,Singapore,Shanghai,Maersk,Rain,21.7,0.68,11717,0,0
SHP-10240,2025-03-30,Singapore,Los Angeles,MSC,Clear,21.14,0.46,6284,0,0
SHP-10241,2025-05-11,Singapore,Shanghai,Hapag-Lloyd,Storm,10.17,0.74,11151,0,0
SHP-10242,2025-08-14,Singapore,Shanghai,MSC,Rain,26.74,0.3,11154,0,0
SHP-10243,2025-10-06,Rotterdam,Dubai,Evergreen,Fog,28.23,0.27,3471,0,0
SHP-10244,2025-12-18,Los Angeles,Singapore,Maersk,Clear,13.27,0.94,11811,0,0
SHP-10245,2025-08-06,Rotterdam,Singapore,Maersk,Rain,18.37,0.48,4398,0,0
SHP-10246,2025-08-20,Los Angeles,Rotterdam,MSC,Clear,16.05,0.76,9212,1,5
SHP-10247,2025-09-20,Shanghai,Dubai,Hapag-Lloyd,Clear,12.0,0.12,7377,1,10
SHP-10248,2025-07-15,Dubai,Shanghai,Hapag-Lloyd,Rain,24.33,0.2,7761,0,0
SHP-10249,2025-11-14,Hamburg,Dubai,Evergreen,Rain,16.25,0.97,5623,0,0
SHP-10250,2025-06-03,Singapore,Hamburg,COSCO,Rain,13.5,0.25,5527,0,0
SHP-10251,2025-08-27,Los Angeles,Hamburg,Evergreen,Storm,19.98,0.99,5151,1,8
SHP-10252,2025-06-24,Hamburg,Singapore,Evergreen,Rain,21.16,0.3,6107,0,0
SHP-10253,2025-02-27,Los Angeles,Singapore,Evergreen,Clear,16.03,0.36,10834,0,0
SHP-10254,2025-09-03,Los Angeles,Rotterdam,MSC,Clear,13.11,0.61,8637,0,0
SHP-10255,2025-06-05,Dubai,Hamburg,Maersk,Clear,19.55,0.2,7854,0,0
SHP-10256,2025-01-16,Singapore,Rotterdam,Hapag-Lloyd,Storm,17.56,0.1,7137,0,0
SHP-10257,2025-01-26,Dubai,Singapore,Evergreen,Fog,25.91,0.49,9243,1,12
SHP-10258,2025-12-14,Hamburg,Singapore,MSC,Clear,23.96,0.72,4186,0,0
SHP-10259,2025-08-26,Shanghai,Singapore,Hapag-Lloyd,Clear,19.39,0.19,3232,0,0
SHP-10260,2025-10-23,Singapore,Dubai,COSCO,Clear,12.53,0.85,8638,1,2
SHP-10261,2025-03-27,Dubai,Rotterdam,Maersk,Clear,13.21,0.52,11225,0,0
SHP-10262,2025-12-20,Singapore,Hamburg,Evergreen,Storm,16.29,0.58,6839,1,3
SHP-10263,2025-10-13,Dubai,Rotterdam,Evergreen,Clear,14.42,0.78,6882,0,0
SHP-10264,2025-07-22,Singapore,Shanghai,COSCO,Clear,27.95,0.88,10017,0,0
SHP-10265,2025-08-21,Singapore,Shanghai,Hapag-Lloyd,Rain,17.89,0.29,9669,0,0
SHP-10266,2025-02-12,Los Angeles,Shanghai,Maersk,Rain,28.26,0.5,3752,0,0
SHP-10267,2025-04-05,Hamburg,Singapore,Evergreen,Clear,27.1,0.98,10550,1,11
SHP-10268,2025-12-23,Rotterdam,Los Angeles,COSCO,Clear,26.56,0.82,5668,1,5
